parameter,value,se_sa,rse_sa
CL_pop,0.167172732717436,0.0397836750571635,23.7979450419154
Vc_pop,0.336133419081688,0.147971424346128,44.0216342517754
Q_pop,0.661960992801589,0.416358638192595,62.8977602487509
Vp_pop,0.533851316866222,0.169183519020681,31.6911307840938
time0_pop,11.9434398888547,0.657834918807501,5.50791836296152
kt_pop,1.43837435753372,nan,nan
omega_CL,0.57299544262872,0.171558543201689,29.9406470694833
omega_Vc,0.491602849138539,nan,nan
omega_Q,1.23816039754879,0.51778666304597,41.8190295918884
omega_Vp,0.556749619280835,0.183232407083454,32.9110969703292
omega_time0,0.106486191289787,nan,nan
omega_kt,0.905810620857511,nan,nan
b,0.236210827709537,nan,nan
