rep,id,eta_CL,eta_Vc,eta_Q,eta_Vp,eta_time0,eta_kt
1,1,-0.495680176864954,-0.34699209688527,-1.5749572024071,-0.581737723011148,0.0899182534163678,-0.0825119446639057
2,1,-0.399136483812644,0.0728987444623362,-1.2947652345252,-0.429909550570894,-0.0332357486499926,-1.0496337501291
3,1,-0.590916491718538,0.189157161090584,-1.15405560534066,-0.282312522489654,-0.00637070493286662,-0.652078566053047
4,1,-0.496651308534289,-0.0117474847101638,-1.14004252084888,-0.216265229410298,-0.0192595720187271,-0.486922755887084
5,1,-0.452736202048688,-0.02299580831856,-1.40201779069197,-0.49609304955985,-0.0357393732434649,-0.849259734729901
6,1,-0.458918050635848,0.255081993441594,-1.74832082567448,-0.820680183303132,-0.0364902852578918,-1.21414284978678
7,1,-0.412094789428063,-0.147881292325426,-0.97831527163695,-0.140427459032479,0.0384835719197901,-0.404369047890284
8,1,-0.514545975834365,-0.219863496582086,-1.12111327227937,-0.265334264241384,0.0598929324072758,-0.232303927921855
9,1,-0.481593861617097,-0.144408944979468,-1.50406636462274,-0.513949368172322,0.0393485352932591,-0.3673877797164
10,1,-0.586761591214689,-0.558351560106894,-1.4288501035688,-0.485209181282686,0.0331113921045188,-0.0750505565048998
1,2,-0.468580537752647,0.122198893549426,-1.96036161296783,-0.914223101033798,0.0798843435550116,-0.654721172599297
2,2,-0.523509240543766,0.0714925710883937,-1.69603367630942,-0.744767044141006,-0.0134396298308852,-0.991282082972292
3,2,-0.558774793584219,-0.260827648569189,-1.29183034386268,-0.24808176749538,0.12051293048476,0.558071228867471
4,2,-0.626982350573564,-0.778937916369245,-1.13026850717183,-0.130584624091177,0.108382263944037,1.00307690670354
5,2,-0.535359007973892,0.0918145963693838,-1.67404645224643,-0.628286577405268,0.0545640262822254,-0.369292811028097
6,2,-0.623937743742415,-0.971244408709791,-1.54210609384862,-0.515693294922249,0.0937075470745604,0.577764382902821
7,2,-0.4937122462625,-0.438389260227802,-1.27774752930035,-0.309010316030365,0.0530637178605076,-0.0315738710747652
